Code,County,State,Labor_count,Employed,Unemployed,unemployment_rate
CN2111100000000,Jefferson , KY,"394,151     ","375,210     ","18,941     ",4.8     
CN2111300000000,Jessamine , KY,"26,219     ","25,165     ","1,054     ",4.0     
CN2111500000000,Johnson , KY,"6,659     ","6,170     ",489     ,7.3     
CN2111700000000,Kenton , KY,"87,115     ","83,479     ","3,636     ",4.2     
CN2111900000000,Knott , KY,"4,275     ","3,966     ",309     ,7.2     
CN2112100000000,Knox , KY,"10,049     ","9,427     ",622     ,6.2     
CN2112300000000,Larue , KY,"5,803     ","5,517     ",286     ,4.9     
CN2112500000000,Laurel , KY,"25,250     ","24,111     ","1,139     ",4.5     
CN2112700000000,Lawrence , KY,"5,340     ","4,998     ",342     ,6.4     
CN2112900000000,Lee , KY,"2,009     ","1,896     ",113     ,5.6     
CN2113100000000,Leslie , KY,"2,534     ","2,328     ",206     ,8.1     
CN2113300000000,Letcher , KY,"6,038     ","5,579     ",459     ,7.6     
CN2113500000000,Lewis , KY,"4,703     ","4,344     ",359     ,7.6     
CN2113700000000,Lincoln , KY,"9,278     ","8,759     ",519     ,5.6     
CN2113900000000,Livingston , KY,"3,632     ","3,409     ",223     ,6.1     
CN2114100000000,Logan , KY,"12,296     ","11,829     ",467     ,3.8     
CN2114300000000,Lyon , KY,"3,113     ","2,974     ",139     ,4.5     
CN2114500000000,McCracken , KY,"29,655     ","28,160     ","1,495     ",5.0     
CN2114700000000,McCreary , KY,"4,886     ","4,606     ",280     ,5.7     
CN2114900000000,McLean , KY,"4,021     ","3,849     ",172     ,4.3     
CN2115100000000,Madison , KY,"46,664     ","44,742     ","1,922     ",4.1     
CN2115300000000,Magoffin , KY,"3,242     ","2,836     ",406     ,12.5     
CN2115500000000,Marion , KY,"9,285     ","8,880     ",405     ,4.4     
CN2115700000000,Marshall , KY,"14,446     ","13,774     ",672     ,4.7     
CN2115900000000,Martin , KY,"2,350     ","2,132     ",218     ,9.3     
CN2116100000000,Mason , KY,"6,796     ","6,421     ",375     ,5.5     
CN2116300000000,Meade , KY,"11,679     ","11,061     ",618     ,5.3     
CN2116500000000,Menifee , KY,"2,309     ","2,150     ",159     ,6.9     
CN2116700000000,Mercer , KY,"9,932     ","9,480     ",452     ,4.6     
CN2116900000000,Metcalfe , KY,"3,980     ","3,764     ",216     ,5.4     
CN2117100000000,Monroe , KY,"4,637     ","4,452     ",185     ,4.0     
CN2117300000000,Montgomery , KY,"11,543     ","10,928     ",615     ,5.3     
CN2117500000000,Morgan , KY,"4,326     ","4,077     ",249     ,5.8     
CN2117700000000,Muhlenberg , KY,"9,822     ","9,171     ",651     ,6.6     
CN2117900000000,Nelson , KY,"23,223     ","22,213     ","1,010     ",4.3     
CN2118100000000,Nicholas , KY,"3,314     ","3,171     ",143     ,4.3     
CN2118300000000,Ohio , KY,"9,010     ","8,512     ",498     ,5.5     
CN2118500000000,Oldham , KY,"33,100     ","31,915     ","1,185     ",3.6     
CN2118700000000,Owen , KY,"5,092     ","4,875     ",217     ,4.3     
CN2118900000000,Owsley , KY,"1,054     ",980     ,74     ,7.0     
CN2119100000000,Pendleton , KY,"6,897     ","6,612     ",285     ,4.1     
CN2119300000000,Perry , KY,"7,994     ","7,491     ",503     ,6.3     
CN2119500000000,Pike , KY,"19,105     ","17,891     ","1,214     ",6.4     
CN2119700000000,Powell , KY,"5,135     ","4,888     ",247     ,4.8     
CN2119900000000,Pulaski , KY,"25,971     ","24,692     ","1,279     ",4.9     
CN2120100000000,Robertson , KY,801     ,767     ,34     ,4.2     
CN2120300000000,Rockcastle , KY,"6,457     ","6,137     ",320     ,5.0     
CN2120500000000,Rowan , KY,"9,943     ","9,417     ",526     ,5.3     
CN2120700000000,Russell , KY,"6,118     ","5,785     ",333     ,5.4     
CN2120900000000,Scott , KY,"29,876     ","28,785     ","1,091     ",3.7     
CN2121100000000,Shelby , KY,"25,837     ","24,857     ",980     ,3.8     
CN2121300000000,Simpson , KY,"8,850     ","8,479     ",371     ,4.2     
CN2121500000000,Spencer , KY,"10,529     ","10,082     ",447     ,4.2     
CN2121700000000,Taylor , KY,"12,363     ","11,879     ",484     ,3.9     
CN2121900000000,Todd , KY,"5,521     ","5,320     ",201     ,3.6     
CN2122100000000,Trigg , KY,"6,062     ","5,755     ",307     ,5.1     
CN2122300000000,Trimble , KY,"3,834     ","3,649     ",185     ,4.8     
CN2122500000000,Union , KY,"6,021     ","5,759     ",262     ,4.4     
CN2122700000000,Warren , KY,"64,517     ","61,768     ","2,749     ",4.3     
CN2122900000000,Washington , KY,"6,177     ","5,937     ",240     ,3.9     
CN2123100000000,Wayne , KY,"7,410     ","7,035     ",375     ,5.1     
CN2123300000000,Webster , KY,"5,344     ","5,103     ",241     ,4.5     
CN2123500000000,Whitley , KY,"14,007     ","13,309     ",698     ,5.0     
CN2123700000000,Wolfe , KY,"2,222     ","2,092     ",130     ,5.9     
CN2123900000000,Woodford , KY,"15,053     ","14,543     ",510     ,3.4     
CN2200100000000,Acadia Parish, LA,"23,518     ","22,355     ","1,163     ",4.9     
CN2200300000000,Allen Parish, LA,"8,137     ","7,687     ",450     ,5.5     
CN2200500000000,Ascension Parish, LA,"64,756     ","62,050     ","2,706     ",4.2     
CN2200700000000,Assumption Parish, LA,"8,713     ","8,088     ",625     ,7.2     
CN2200900000000,Avoyelles Parish, LA,"14,753     ","13,982     ",771     ,5.2     
CN2201100000000,Beauregard Parish, LA,"14,628     ","14,030     ",598     ,4.1     
CN2201300000000,Bienville Parish, LA,"5,244     ","4,945     ",299     ,5.7     
CN2201500000000,Bossier Parish, LA,"57,066     ","54,867     ","2,199     ",3.9     
CN2201700000000,Caddo Parish, LA,"101,475     ","95,172     ","6,303     ",6.2     
CN2201900000000,Calcasieu Parish, LA,"95,934     ","90,541     ","5,393     ",5.6     
CN2202100000000,Caldwell Parish, LA,"3,670     ","3,500     ",170     ,4.6     
CN2202300000000,Cameron Parish, LA,"3,503     ","3,381     ",122     ,3.5     
CN2202500000000,Catahoula Parish, LA,"3,483     ","3,304     ",179     ,5.1     
CN2202700000000,Claiborne Parish, LA,"5,456     ","5,190     ",266     ,4.9     
CN2202900000000,Concordia Parish, LA,"6,906     ","6,500     ",406     ,5.9     
CN2203100000000,De Soto Parish, LA,"10,738     ","10,218     ",520     ,4.8     
CN2203300000000,East Baton Rouge Parish, LA,"227,407     ","215,464     ","11,943     ",5.3     
CN2203500000000,East Carroll Parish, LA,"1,745     ","1,573     ",172     ,9.9     
CN2203700000000,East Feliciana Parish, LA,"7,654     ","7,306     ",348     ,4.5     
CN2203900000000,Evangeline Parish, LA,"11,985     ","11,333     ",652     ,5.4     
CN2204100000000,Franklin Parish, LA,"7,420     ","6,989     ",431     ,5.8     
CN2204300000000,Grant Parish, LA,"8,207     ","7,877     ",330     ,4.0     
CN2204500000000,Iberia Parish, LA,"27,669     ","25,757     ","1,912     ",6.9     
CN2204700000000,Iberville Parish, LA,"13,659     ","12,679     ",980     ,7.2     
CN2204900000000,Jackson Parish, LA,"6,745     ","6,492     ",253     ,3.8     
CN2205100000000,Jefferson Parish, LA,"208,446     ","196,000     ","12,446     ",6.0     
CN2205300000000,Jefferson Davis Parish, LA,"12,658     ","12,057     ",601     ,4.7     
CN2205500000000,Lafayette Parish, LA,"115,123     ","109,956     ","5,167     ",4.5     
CN2205700000000,Lafourche Parish, LA,"40,657     ","38,805     ","1,852     ",4.6     
CN2205900000000,LaSalle Parish, LA,"6,677     ","6,458     ",219     ,3.3     
CN2206100000000,Lincoln Parish, LA,"21,118     ","20,215     ",903     ,4.3     
CN2206300000000,Livingston Parish, LA,"69,221     ","66,611     ","2,610     ",3.8     
CN2206500000000,Madison Parish, LA,"3,478     ","3,244     ",234     ,6.7     
CN2206700000000,Morehouse Parish, LA,"9,942     ","9,214     ",728     ,7.3     
CN2206900000000,Natchitoches Parish, LA,"16,341     ","15,575     ",766     ,4.7     
CN2207100000000,Orleans Parish, LA,"177,776     ","162,980     ","14,796     ",8.3     
CN2207300000000,Ouachita Parish, LA,"69,404     ","65,924     ","3,480     ",5.0     
CN2207500000000,Plaquemines Parish, LA,"9,539     ","9,126     ",413     ,4.3     
CN2207700000000,Pointe Coupee Parish, LA,"9,544     ","8,997     ",547     ,5.7     
CN2207900000000,Rapides Parish, LA,"55,425     ","53,197     ","2,228     ",4.0     
CN2208100000000,Red River Parish, LA,"3,668     ","3,509     ",159     ,4.3     
CN2208300000000,Richland Parish, LA,"8,117     ","7,695     ",422     ,5.2     
CN2208500000000,Sabine Parish, LA,"9,271     ","8,929     ",342     ,3.7     
CN2208700000000,St. Bernard Parish, LA,"19,908     ","18,549     ","1,359     ",6.8     
CN2208900000000,St. Charles Parish, LA,"24,370     ","23,150     ","1,220     ",5.0     
CN2209100000000,St. Helena Parish, LA,"4,257     ","3,867     ",390     ,9.2     
CN2209300000000,St. James Parish, LA,"8,845     ","8,193     ",652     ,7.4     
CN2209500000000,St. John the Baptist Parish, LA,"19,155     ","17,521     ","1,634     ",8.5     
CN2209700000000,St. Landry Parish, LA,"32,024     ","30,008     ","2,016     ",6.3     
CN2209900000000,St. Martin Parish, LA,"21,901     ","20,668     ","1,233     ",5.6     
CN2210100000000,St. Mary Parish, LA,"19,192     ","17,897     ","1,295     ",6.7     
CN2210300000000,St. Tammany Parish, LA,"116,814     ","112,322     ","4,492     ",3.8     
CN2210500000000,Tangipahoa Parish, LA,"56,131     ","52,524     ","3,607     ",6.4     
CN2210700000000,Tensas Parish, LA,"1,318     ","1,240     ",78     ,5.9     
CN2210900000000,Terrebonne Parish, LA,"45,015     ","42,418     ","2,597     ",5.8     
CN2211100000000,Union Parish, LA,"8,993     ","8,557     ",436     ,4.8     
CN2211300000000,Vermilion Parish, LA,"23,846     ","22,645     ","1,201     ",5.0     
CN2211500000000,Vernon Parish, LA,"16,011     ","15,282     ",729     ,4.6     
CN2211700000000,Washington Parish, LA,"16,870     ","15,882     ",988     ,5.9     
CN2211900000000,Webster Parish, LA,"14,001     ","13,235     ",766     ,5.5     
CN2212100000000,West Baton Rouge Parish, LA,"13,611     ","12,949     ",662     ,4.9     
CN2212300000000,West Carroll Parish, LA,"3,508     ","3,286     ",222     ,6.3     
CN2212500000000,West Feliciana Parish, LA,"5,253     ","5,060     ",193     ,3.7     
CN2212700000000,Winn Parish, LA,"4,602     ","4,381     ",221     ,4.8     
CN2300100000000,Androscoggin , ME,"54,219     ","51,576     ","2,643     ",4.9     
CN2300300000000,Aroostook , ME,"29,056     ","27,408     ","1,648     ",5.7     
CN2300500000000,Cumberland , ME,"162,433     ","155,942     ","6,491     ",4.0     
CN2300700000000,Franklin , ME,"13,839     ","13,109     ",730     ,5.3     
CN2300900000000,Hancock , ME,"28,376     ","26,953     ","1,423     ",5.0     
CN2301100000000,Kennebec , ME,"61,360     ","58,722     ","2,638     ",4.3     
CN2301300000000,Knox , ME,"19,881     ","19,008     ",873     ,4.4     
CN2301500000000,Lincoln , ME,"16,707     ","15,967     ",740     ,4.4     
CN2301700000000,Oxford , ME,"26,298     ","24,828     ","1,470     ",5.6     
CN2301900000000,Penobscot , ME,"74,855     ","71,312     ","3,543     ",4.7     
CN2302100000000,Piscataquis , ME,"7,440     ","7,067     ",373     ,5.0     
CN2302300000000,Sagadahoc , ME,"19,159     ","18,448     ",711     ,3.7     
CN2302500000000,Somerset , ME,"22,318     ","20,920     ","1,398     ",6.3     
CN2302700000000,Waldo , ME,"20,249     ","19,298     ",951     ,4.7     
CN2302900000000,Washington , ME,"13,452     ","12,583     ",869     ,6.5     
CN2303100000000,York , ME,"112,246     ","107,197     ","5,049     ",4.5     
CN2400100000000,Allegany , MD,"30,504     ","28,538     ","1,966     ",6.4     
CN2400300000000,Anne Arundel , MD,"312,621     ","297,777     ","14,844     ",4.7     
CN2400500000000,Baltimore , MD,"444,930     ","419,727     ","25,203     ",5.7     
CN2400900000000,Calvert , MD,"48,774     ","46,537     ","2,237     ",4.6     
CN2401100000000,Caroline , MD,"17,435     ","16,609     ",826     ,4.7     
CN2401300000000,Carroll , MD,"93,816     ","89,896     ","3,920     ",4.2     
CN2401500000000,Cecil , MD,"52,338     ","49,595     ","2,743     ",5.2     
CN2401700000000,Charles , MD,"86,208     ","81,268     ","4,940     ",5.7     
CN2401900000000,Dorchester , MD,"16,235     ","15,321     ",914     ,5.6     
CN2402100000000,Frederick , MD,"134,802     ","128,334     ","6,468     ",4.8     
CN2402300000000,Garrett , MD,"15,365     ","14,561     ",804     ,5.2     
CN2402500000000,Harford , MD,"139,296     ","132,625     ","6,671     ",4.8     
CN2402700000000,Howard , MD,"186,574     ","178,469     ","8,105     ",4.3     
CN2402900000000,Kent , MD,"9,609     ","9,085     ",524     ,5.5     
CN2403100000000,Montgomery , MD,"547,389     ","517,358     ","30,031     ",5.5     
CN2403300000000,Prince George's , MD,"502,972     ","465,458     ","37,514     ",7.5     
CN2403500000000,Queen Anne's , MD,"27,745     ","26,534     ","1,211     ",4.4     
CN2403700000000,St. Mary's , MD,"57,574     ","54,995     ","2,579     ",4.5     
CN2403900000000,Somerset , MD,"8,824     ","8,154     ",670     ,7.6     
CN2404100000000,Talbot , MD,"17,647     ","16,718     ",929     ,5.3     
CN2404300000000,Washington , MD,"72,458     ","68,574     ","3,884     ",5.4     
CN2404500000000,Wicomico , MD,"49,998     ","46,932     ","3,066     ",6.1     
CN2404700000000,Worcester , MD,"24,913     ","22,861     ","2,052     ",8.2     
CN2451000000000,Baltimore city, MD,"277,525     ","256,302     ","21,223     ",7.6     
CN2500100000000,Barnstable , MA,"112,478     ","104,925     ","7,553     ",6.7     
CN2500300000000,Berkshire , MA,"62,666     ","58,491     ","4,175     ",6.7     
CN2500500000000,Bristol , MA,"299,547     ","279,940     ","19,607     ",6.5     
CN2500700000000,Dukes , MA,"9,640     ","9,010     ",630     ,6.5     
CN2500900000000,Essex , MA,"423,777     ","396,759     ","27,018     ",6.4     
CN2501100000000,Franklin , MA,"40,785     ","38,757     ","2,028     ",5.0     
CN2501300000000,Hampden , MA,"227,099     ","209,942     ","17,157     ",7.6     
CN2501500000000,Hampshire , MA,"89,375     ","85,206     ","4,169     ",4.7     
CN2501700000000,Middlesex , MA,"906,656     ","864,759     ","41,897     ",4.6     
CN2501900000000,Nantucket /town, MA,"7,733     ","7,138     ",595     ,7.7     
CN2502100000000,Norfolk , MA,"390,570     ","370,471     ","20,099     ",5.1     
CN2502300000000,Plymouth , MA,"283,684     ","266,284     ","17,400     ",6.1     
CN2502500000000,Suffolk , MA,"453,174     ","426,176     ","26,998     ",6.0     
CN2502700000000,Worcester , MA,"443,682     ","417,617     ","26,065     ",5.9     
CN2600100000000,Alcona , MI,"3,725     ","3,462     ",263     ,7.1     
CN2600300000000,Alger , MI,"3,089     ","2,841     ",248     ,8.0     
CN2600500000000,Allegan , MI,"60,557     ","57,735     ","2,822     ",4.7     
CN2600700000000,Alpena , MI,"13,183     ","12,458     ",725     ,5.5     
CN2600900000000,Antrim , MI,"9,865     ","9,172     ",693     ,7.0     
CN2601100000000,Arenac , MI,"5,709     ","5,234     ",475     ,8.3     
CN2601300000000,Baraga , MI,"3,006     ","2,769     ",237     ,7.9     
CN2601500000000,Barry , MI,"30,851     ","29,443     ","1,408     ",4.6     
CN2601700000000,Bay , MI,"47,921     ","45,003     ","2,918     ",6.1     
CN2601900000000,Benzie , MI,"8,453     ","7,949     ",504     ,6.0     
CN2602100000000,Berrien , MI,"69,898     ","65,843     ","4,055     ",5.8     
CN2602300000000,Branch , MI,"19,085     ","18,140     ",945     ,5.0     
CN2602500000000,Calhoun , MI,"59,357     ","55,459     ","3,898     ",6.6     
CN2602700000000,Cass , MI,"23,154     ","21,980     ","1,174     ",5.1     
CN2602900000000,Charlevoix , MI,"12,219     ","11,484     ",735     ,6.0     
CN2603100000000,Cheboygan , MI,"9,941     ","9,113     ",828     ,8.3     
CN2603300000000,Chippewa , MI,"15,786     ","14,754     ","1,032     ",6.5     
CN2603500000000,Clare , MI,"11,148     ","10,251     ",897     ,8.0     
CN2603700000000,Clinton , MI,"38,904     ","37,179     ","1,725     ",4.4     
CN2603900000000,Crawford , MI,"5,359     ","4,981     ",378     ,7.1     
CN2604100000000,Delta , MI,"16,243     ","15,244     ",999     ,6.2     
CN2604300000000,Dickinson , MI,"12,132     ","11,552     ",580     ,4.8     
CN2604500000000,Eaton , MI,"54,084     ","51,211     ","2,873     ",5.3     
CN2604700000000,Emmet , MI,"16,348     ","15,305     ","1,043     ",6.4     
CN2604900000000,Genesee , MI,"174,492     ","161,241     ","13,251     ",7.6     
CN2605100000000,Gladwin , MI,"9,595     ","8,918     ",677     ,7.1     
CN2605300000000,Gogebic , MI,"5,582     ","5,273     ",309     ,5.5     
CN2605500000000,Grand Traverse , MI,"47,928     ","45,518     ","2,410     ",5.0     
CN2605700000000,Gratiot , MI,"17,041     ","16,094     ",947     ,5.6     
CN2605900000000,Hillsdale , MI,"19,704     ","18,630     ","1,074     ",5.5     
CN2606100000000,Houghton , MI,"15,678     ","14,888     ",790     ,5.0     
CN2606300000000,Huron , MI,"14,854     ","14,058     ",796     ,5.4     
CN2606500000000,Ingham , MI,"141,678     ","133,763     ","7,915     ",5.6     
CN2606700000000,Ionia , MI,"29,513     ","28,105     ","1,408     ",4.8     
CN2606900000000,Iosco , MI,"9,819     ","9,110     ",709     ,7.2     
CN2607100000000,Iron , MI,"4,742     ","4,454     ",288     ,6.1     
CN2607300000000,Isabella , MI,"31,774     ","30,098     ","1,676     ",5.3     
CN2607500000000,Jackson , MI,"71,993     ","67,863     ","4,130     ",5.7     
CN2607700000000,Kalamazoo , MI,"128,630     ","122,189     ","6,441     ",5.0     
CN2607900000000,Kalkaska , MI,"7,632     ","7,078     ",554     ,7.3     
CN2608100000000,Kent , MI,"349,167     ","332,738     ","16,429     ",4.7     
CN2608300000000,Keweenaw , MI,883     ,824     ,59     ,6.7     
CN2608500000000,Lake , MI,"3,843     ","3,527     ",316     ,8.2     
CN2608700000000,Lapeer , MI,"40,133     ","37,704     ","2,429     ",6.1     
CN2608900000000,Leelanau , MI,"10,047     ","9,524     ",523     ,5.2     
CN2609100000000,Lenawee , MI,"44,522     ","42,093     ","2,429     ",5.5     
CN2609300000000,Livingston , MI,"101,855     ","97,621     ","4,234     ",4.2     
CN2609500000000,Luce , MI,"2,119     ","1,969     ",150     ,7.1     
CN2609700000000,Mackinac , MI,"4,785     ","4,375     ",410     ,8.6     
CN2609900000000,Macomb , MI,"439,812     ","413,707     ","26,105     ",5.9     
CN2610100000000,Manistee , MI,"9,744     ","9,034     ",710     ,7.3     
CN2610300000000,Marquette , MI,"30,639     ","28,995     ","1,644     ",5.4     
CN2610500000000,Mason , MI,"13,009     ","12,171     ",838     ,6.4     
CN2610700000000,Mecosta , MI,"17,735     ","16,605     ","1,130     ",6.4     
CN2610900000000,Menominee , MI,"10,438     ","9,966     ",472     ,4.5     
CN2611100000000,Midland , MI,"38,276     ","36,396     ","1,880     ",4.9     
CN2611300000000,Missaukee , MI,"6,800     ","6,421     ",379     ,5.6     
CN2611500000000,Monroe , MI,"72,149     ","67,809     ","4,340     ",6.0     
CN2611700000000,Montcalm , MI,"27,073     ","25,561     ","1,512     ",5.6     
CN2611900000000,Montmorency , MI,"2,936     ","2,661     ",275     ,9.4     
CN2612100000000,Muskegon , MI,"75,304     ","69,663     ","5,641     ",7.5     
CN2612300000000,Newaygo , MI,"22,817     ","21,533     ","1,284     ",5.6     
CN2612500000000,Oakland , MI,"660,330     ","629,457     ","30,873     ",4.7     
CN2612700000000,Oceana , MI,"11,581     ","10,721     ",860     ,7.4     
CN2612900000000,Ogemaw , MI,"7,874     ","7,256     ",618     ,7.8     
CN2613100000000,Ontonagon , MI,"2,012     ","1,859     ",153     ,7.6     
CN2613300000000,Osceola , MI,"11,277     ","10,653     ",624     ,5.5     
CN2613500000000,Oscoda , MI,"2,630     ","2,391     ",239     ,9.1     
CN2613700000000,Otsego , MI,"11,351     ","10,579     ",772     ,6.8     
CN2613900000000,Ottawa , MI,"156,739     ","150,355     ","6,384     ",4.1     
CN2614100000000,Presque Isle , MI,"4,796     ","4,417     ",379     ,7.9     
CN2614300000000,Roscommon , MI,"7,388     ","6,679     ",709     ,9.6     
CN2614500000000,Saginaw , MI,"81,321     ","75,566     ","5,755     ",7.1     
CN2614700000000,St. Clair , MI,"74,255     ","69,862     ","4,393     ",5.9     
CN2614900000000,St. Joseph , MI,"27,776     ","26,354     ","1,422     ",5.1     
CN2615100000000,Sanilac , MI,"18,923     ","17,768     ","1,155     ",6.1     
CN2615300000000,Schoolcraft , MI,"3,128     ","2,877     ",251     ,8.0     
CN2615500000000,Shiawassee , MI,"31,704     ","29,908     ","1,796     ",5.7     
CN2615700000000,Tuscola , MI,"22,658     ","21,236     ","1,422     ",6.3     
CN2615900000000,Van Buren , MI,"33,843     ","31,794     ","2,049     ",6.1     
CN2616100000000,Washtenaw , MI,"189,511     ","181,350     ","8,161     ",4.3     
CN2616300000000,Wayne , MI,"797,703     ","734,140     ","63,563     ",8.0     
CN2616500000000,Wexford , MI,"14,561     ","13,694     ",867     ,6.0     
CN2700100000000,Aitkin , MN,"7,244     ","6,904     ",340     ,4.7     
CN2700300000000,Anoka , MN,"195,027     ","188,434     ","6,593     ",3.4     
CN2700500000000,Becker , MN,"18,683     ","18,057     ",626     ,3.4     
CN2700700000000,Beltrami , MN,"23,933     ","23,050     ",883     ,3.7     
CN2700900000000,Benton , MN,"21,312     ","20,405     ",907     ,4.3     
CN2701100000000,Big Stone , MN,"2,395     ","2,312     ",83     ,3.5     
CN2701300000000,Blue Earth , MN,"39,179     ","37,981     ","1,198     ",3.1     
CN2701500000000,Brown , MN,"13,430     ","13,014     ",416     ,3.1     
CN2701700000000,Carlton , MN,"17,106     ","16,421     ",685     ,4.0     
CN2701900000000,Carver , MN,"58,187     ","56,606     ","1,581     ",2.7     
CN2702100000000,Cass , MN,"15,598     ","14,909     ",689     ,4.4     
CN2702300000000,Chippewa , MN,"6,462     ","6,271     ",191     ,3.0     
CN2702500000000,Chisago , MN,"29,423     ","28,335     ","1,088     ",3.7     
CN2702700000000,Clay , MN,"36,092     ","35,108     ",984     ,2.7     
